127.0.0.1 - - [11/May/2020:09:50:35 +0900] "GET / HTTP/1.1" 200 4346
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:36 +0900] "GET / HTTP/1.1" 200 4346
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:36 +0900] "GET /resources/img/index/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:36 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:36 +0900] "GET /resources/jquery/jstyle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:36 +0900] "GET /resources/img/index/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:36 +0900] "GET /resources/img/index/index_back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:36 +0900] "GET /resources/jquery/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:36 +0900] "GET /resources/img/index/mail.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:09:50:37 +0900] "GET /favicon.ico HTTP/1.1" 404 721
192.168.0.1 - - [11/May/2020:09:50:43 +0900] "GET / HTTP/1.1" 200 4346
192.168.0.1 - - [11/May/2020:09:50:44 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
192.168.0.1 - - [11/May/2020:09:50:44 +0900] "GET /resources/img/index/logo.png HTTP/1.1" 304 -
192.168.0.1 - - [11/May/2020:09:50:44 +0900] "GET /resources/img/index/close.png HTTP/1.1" 304 -
192.168.0.1 - - [11/May/2020:09:50:44 +0900] "GET /resources/img/index/mail.png HTTP/1.1" 304 -
192.168.0.1 - - [11/May/2020:09:50:44 +0900] "GET /resources/jquery/jquery-3.4.1.min.js HTTP/1.1" 304 -
192.168.0.1 - - [11/May/2020:09:50:44 +0900] "GET /resources/img/index/index_back.jpg HTTP/1.1" 304 -
192.168.0.1 - - [11/May/2020:09:50:44 +0900] "GET /resources/jquery/jstyle.js HTTP/1.1" 304 -
192.168.0.1 - - [11/May/2020:09:50:44 +0900] "GET /favicon.ico HTTP/1.1" 404 721
192.168.0.1 - - [11/May/2020:09:50:49 +0900] "GET /announce/announcement HTTP/1.1" 200 6166
192.168.0.1 - - [11/May/2020:09:50:51 +0900] "GET /board/write HTTP/1.1" 200 7969
192.168.0.1 - - [11/May/2020:09:50:52 +0900] "GET /sub/goods HTTP/1.1" 200 7515
